taxon,NAME,fips,O,H,G,bonap,usda,sum
Vitis acerifolia,Clark,20025,NA,5,NA,1,1,7
Vitis acerifolia,Meade,20119,NA,4,NA,1,1,6
Vitis acerifolia,Sequoyah,40135,NA,1,NA,1,NA,2
Vitis acerifolia,Douglas,08035,NA,2,NA,NA,NA,2
Vitis acerifolia,Bent,08011,NA,3,NA,1,1,5
Vitis acerifolia,Otero,08089,NA,3,NA,1,1,5
Vitis acerifolia,Fremont,08043,NA,NA,NA,1,NA,1
Vitis acerifolia,Pueblo,08101,NA,NA,NA,1,NA,1
Vitis acerifolia,Kiowa,20097,NA,NA,NA,1,NA,1
Vitis acerifolia,Pratt,20151,NA,2,NA,1,1,4
Vitis acerifolia,Ellsworth,20053,NA,NA,NA,1,1,2
Vitis acerifolia,Rice,20159,NA,1,NA,1,1,3
Vitis acerifolia,Sedgwick,20173,NA,NA,NA,1,1,2
Vitis acerifolia,Ford,20057,NA,2,NA,1,1,4
Vitis acerifolia,Hodgeman,20083,NA,NA,NA,1,NA,1
Vitis acerifolia,Ellis,20051,NA,1,NA,1,1,3
Vitis acerifolia,Osborne,20141,NA,1,NA,NA,NA,1
Vitis acerifolia,Rooks,20163,NA,1,NA,1,1,3
Vitis acerifolia,Finney,20055,NA,1,NA,NA,NA,1
Vitis acerifolia,Lane,20101,NA,1,NA,NA,NA,1
Vitis acerifolia,Scott,20171,NA,7,NA,1,1,9
Vitis acerifolia,Harding,35021,NA,8,NA,1,1,10
Vitis acerifolia,Mora,35033,NA,8,NA,NA,NA,8
Vitis acerifolia,Guadalupe,35019,NA,4,NA,1,NA,5
Vitis acerifolia,San Miguel,35047,1,5,NA,1,NA,7
Vitis acerifolia,Major,40093,NA,5,NA,1,1,7
Vitis acerifolia,Atoka,40005,NA,1,NA,NA,NA,1
Vitis acerifolia,Johnston,40069,NA,NA,NA,1,NA,1
Vitis acerifolia,Custer,40039,NA,15,NA,1,1,17
Vitis acerifolia,Washita,40149,NA,4,NA,1,NA,5
Vitis acerifolia,Kiowa,40075,NA,3,NA,1,1,5
Vitis acerifolia,Greer,40055,NA,5,NA,1,1,7
Vitis acerifolia,Blaine,40011,NA,13,NA,1,1,15
Vitis acerifolia,Canadian,40017,NA,3,NA,1,1,5
Vitis acerifolia,Caddo,40015,NA,1,NA,1,NA,2
Vitis acerifolia,Dewey,40043,NA,7,NA,1,1,9
Vitis acerifolia,Grady,40051,NA,6,NA,1,1,8
Vitis acerifolia,Comanche,40031,NA,4,NA,1,1,6
Vitis acerifolia,Oklahoma,40109,NA,1,NA,NA,NA,1
Vitis acerifolia,Cleveland,40027,NA,11,NA,1,1,13
Vitis acerifolia,McClain,40087,NA,NA,NA,1,NA,1
Vitis acerifolia,Murray,40099,NA,1,NA,NA,NA,1
Vitis acerifolia,Stephens,40137,NA,1,NA,1,1,3
Vitis acerifolia,Pottawatomie,40125,NA,1,NA,1,1,3
Vitis acerifolia,Okmulgee,40111,NA,NA,NA,1,NA,1
Vitis acerifolia,Payne,40119,NA,1,NA,1,NA,2
Vitis acerifolia,Woodward,40153,NA,11,NA,1,1,13
Vitis acerifolia,Noble,40103,NA,NA,NA,1,NA,1
Vitis acerifolia,Armstrong,48011,NA,3,NA,1,1,5
Vitis acerifolia,Donley,48129,NA,15,NA,1,1,17
Vitis acerifolia,Briscoe,48045,11,5,NA,1,1,18
Vitis acerifolia,Randall,48381,NA,17,NA,1,1,19
Vitis acerifolia,Carson,48065,NA,NA,NA,1,NA,1
Vitis acerifolia,Frio,48163,NA,1,NA,NA,NA,1
Vitis acerifolia,Bexar,48029,NA,1,NA,NA,NA,1
Vitis acerifolia,Real,48385,NA,3,NA,NA,NA,3
Vitis acerifolia,Garza,48169,NA,5,NA,1,1,7
Vitis acerifolia,Johnson,48251,NA,2,NA,NA,NA,2
Vitis acerifolia,Erath,48143,NA,1,NA,1,NA,2
Vitis acerifolia,Robertson,48395,NA,1,NA,1,NA,2
Vitis acerifolia,Hall,48191,NA,2,NA,NA,NA,2
Vitis acerifolia,Motley,48345,NA,3,NA,1,1,5
Vitis acerifolia,Floyd,48153,NA,2,NA,1,NA,3
Vitis acerifolia,Taylor,48441,NA,1,NA,1,NA,2
Vitis acerifolia,Roberts,48393,NA,1,NA,1,1,3
Vitis acerifolia,Gray,48179,3,4,NA,1,1,9
Vitis acerifolia,Potter,48375,2,7,NA,1,1,11
Vitis acerifolia,Moore,48341,NA,2,NA,1,NA,3
Vitis acerifolia,Hutchinson,48233,1,4,NA,1,1,7
Vitis acerifolia,Castro,48069,NA,1,NA,NA,NA,1
Vitis acerifolia,Smith,48423,NA,1,NA,NA,NA,1
Vitis acerifolia,Cottle,48101,1,1,NA,NA,NA,2
Vitis acerifolia,Tom Green,48451,NA,1,NA,NA,NA,1
Vitis acerifolia,Nolan,48353,NA,4,NA,1,NA,5
Vitis acerifolia,Menard,48327,NA,1,NA,NA,NA,1
Vitis acerifolia,Schleicher,48413,NA,1,NA,NA,NA,1
Vitis acerifolia,Crosby,48107,6,6,NA,1,1,14
Vitis acerifolia,Lubbock,48303,3,6,NA,1,1,11
Vitis acerifolia,Dickens,48125,1,NA,NA,1,1,3
