species,projection,buffer_km,SRS_ex,GRS_ex,ERS_ex,FCS_ex,FCS_ex_class,SRS_in,GRS_in,ERS_in,FCS_in,FCS_in_class,FCS_min,FCS_min_class,FCS_max,FCS_max_class,FCS_mean,FCS_mean_class,GRS_ex_SD,GRS_ex_CV,ERS_ex_SD,ERS_ex_CV,FCS_ex_SD,FCS_ex_CV,GRS_in_SD,GRS_in_CV,ERS_in_SD,ERS_in_CV,FCS_in_SD,FCS_in_CV,FCS_min_SD,FCS_min_CV,FCS_max_SD,FCS_max_CV,FCS_mean_SD,FCS_mean_CV
Vitis baileyana,WGS84,100,0.5681818181818182,0,0,0.18939393939393942,UP,5.47945205479452,3.5907904936334702,90,33.023414182809326,HP,0.18939393939393942,UP,33.023414182809326,HP,16.60640406110163,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis baileyana,EqualArea,1,0.5681818181818182,0,0,0.18939393939393942,UP,4.166666666666666,3.576464899196985,90,32.58104385528788,HP,0.18939393939393942,UP,32.58104385528788,HP,16.38521889734091,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis baileyana,EqualArea,5,0.5681818181818182,0,0,0.18939393939393942,UP,4.166666666666666,3.576464899196985,90,32.58104385528788,HP,0.18939393939393942,UP,32.58104385528788,HP,16.38521889734091,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis baileyana,EqualArea,20,0.5681818181818182,0,0,0.18939393939393942,UP,4.166666666666666,3.576464899196985,90,32.58104385528788,HP,0.18939393939393942,UP,32.58104385528788,HP,16.38521889734091,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis baileyana,EqualArea,50,0.5681818181818182,0,0,0.18939393939393942,UP,4.166666666666666,3.576464899196985,90,32.58104385528788,HP,0.18939393939393942,UP,32.58104385528788,HP,16.38521889734091,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis baileyana,EqualArea,100,0.5681818181818182,0,0,0.18939393939393942,UP,4.166666666666666,3.576464899196985,90,32.58104385528788,HP,0.18939393939393942,UP,32.58104385528788,HP,16.38521889734091,UP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitis berlandieri,WGS84,1,28.44677137870855,0.10289138020743327,42.857142857142854,23.802268538686278,UP,4.942965779467681,0.929412312064541,71.42857142857143,25.766983173367887,HP,23.802268538686278,UP,25.766983173367887,HP,24.784625856027084,UP,37.70154483812155,115.70733558334459,17.49635530559413,30.618621784789728,18.141904993035137,46.05589924652953,0,0,0,0,0,0,0.9249359098170775,3.683024815568948,17.462740899436607,43.608279890161874,9.070952496517569,27.842926622402114
Vitis berlandieri,WGS84,5,28.44677137870855,2.0887168563324505,42.857142857142854,24.464210364061287,UP,4.942965779467681,0.929412312064541,71.42857142857143,25.766983173367887,HP,24.464210364061287,UP,25.766983173367887,HP,25.11559676871459,HP,37.70154483812155,115.70733558334459,17.49635530559413,30.618621784789728,18.141904993035137,46.05589924652953,0,0,0,0,0,0,0.9249359098170775,3.683024815568948,17.462740899436607,43.608279890161874,9.070952496517569,27.842926622402114
Vitis berlandieri,WGS84,20,28.44677137870855,18.57001501682337,57.14285714285714,34.71988117946302,HP,4.942965779467681,0.929412312064541,71.42857142857143,25.766983173367887,HP,25.766983173367887,HP,34.71988117946302,HP,30.243432176415453,HP,37.70154483812155,115.70733558334459,17.49635530559413,30.618621784789728,18.141904993035137,46.05589924652953,0,0,0,0,0,0,0.9249359098170775,3.683024815568948,17.462740899436607,43.608279890161874,9.070952496517569,27.842926622402114
Vitis berlandieri,WGS84,50,28.44677137870855,54.6362014075853,57.14285714285714,46.741943309716994,HP,4.942965779467681,0.929412312064541,71.42857142857143,25.766983173367887,HP,25.766983173367887,HP,46.741943309716994,HP,36.25446324154244,HP,37.70154483812155,115.70733558334459,17.49635530559413,30.618621784789728,18.141904993035137,46.05589924652953,0,0,0,0,0,0,0.9249359098170775,3.683024815568948,17.462740899436607,43.608279890161874,9.070952496517569,27.842926622402114
Vitis berlandieri,WGS84,100,28.44677137870855,87.51987043611351,85.71428571428571,67.22697584303593,MP,4.942965779467681,0.929412312064541,71.42857142857143,25.766983173367887,HP,25.766983173367887,HP,67.22697584303593,MP,46.49697950820191,HP,37.70154483812155,115.70733558334459,17.49635530559413,30.618621784789728,18.141904993035137,46.05589924652953,0,0,0,0,0,0,0.9249359098170775,3.683024815568948,17.462740899436607,43.608279890161874,9.070952496517569,27.842926622402114
